Business name,URL,Category/type,Location,Loaded successfully,First impression score,Visual quality score,Mobile conversion score,CTA clarity score,Trust signal score,Offer clarity score,Form/friction score,Speed/performance notes,SEO/local SEO notes,Standout design/conversion ideas,Weaknesses to avoid,Screenshot path,Discovery path,Discovery query,Reviewed at
Canyon View Landscape,https://canyonviewlandscape.com/,lawn care; hardscaping; irrigation; landscape design-build,,true,9,7,8,9,6,8,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: Canyon View Landscape. H1: Logan's Premier Landscaper. No schema detected in homepage HTML. Location signal not obvious from homepage text.,Primary quote/call CTA is easy to find. Portfolio/gallery helps prove finished-work quality.,No homepage form detected; conversion path may require extra clicks.,research/screenshots/001-canyonviewlandscape-com.jpg,lead-sheet/domain-guess,Canyon View Landscaping,2026-06-17T00:06:27.307Z
"Landscape Contractor Gilbert, AZ",https://www.azdesertscapes.com/,hardscaping; irrigation; outdoor living; artificial turf; landscape design-build,"Landscape Contractor Gilbert, AZ",true,10,10,9,10,10,10,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Landscape Contractor Gilbert, AZ | Griffin's Desert Scapes. H1: Landscape Contractor﻿. Schema detected. Location signal: Landscape Contractor Gilbert, AZ.","Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.",Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/001-azdesertscapes-com.jpg,lead-sheet/domain-guess,AZ Desertscapes LLC,2026-06-17T00:06:28.697Z
"Albert&#039;s Landscaping LLC &#8211; Landscaping, Bush hog, Land Clearing",https://albertslandscaping.com/,landscape design-build; commercial landscaping; tree care,,true,10,7,6,6,4,7,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Albert&#039;s Landscaping LLC &#8211; Landscaping, Bush hog, Land Clearing. H1: Albert's Landscaping LLC. Schema detected. Location signal not obvious from homepage text.",Basic landscaping service presentation with limited standout conversion pattern.,Trust proof is thin above the main homepage content. Phone number is not obvious in captured homepage text.,research/screenshots/001-albertslandscaping-com.jpg,lead-sheet/domain-guess,Albert's Landscaping Services,2026-06-17T00:06:28.952Z
Green Thumb Nursery &#8211; Best Family Owned Garden Center in Southern California. Your C,https://www.greenthumb.com/,hardscaping; landscape design-build,,true,8,8,6,6,6,6,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Green Thumb Nursery &#8211; Best Family Owned Garden Center in Southern California. Your Certified Friendly Garden Experts can help. Our superior customer service, large quantity of quality plants and quality seasonal selection makes Green Thumb the best nursery around.. H1: not detected. No schema detected in homepage HTML. Location signal not obvious from homepage text.",Basic landscaping service presentation with limited standout conversion pattern.,Phone number is not obvious in captured homepage text.,research/screenshots/004-greenthumb-com.jpg,lead-sheet/domain-guess,Green Thumb Lawn Service,2026-06-17T00:06:30.330Z
"C&amp;D Landscapes &#8211; Quality, Work Expertise, Personal Attention",https://cdlandscapes.com/,lawn care; hardscaping; irrigation; outdoor living; landscape design-build; commercial landscaping,"Sam Kline Charlotte, NC",true,10,10,9,10,9,10,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: C&amp;D Landscapes &#8211; Quality, Work Expertise, Personal Attention. H1: Welcome to C&D Landscapes. No schema detected in homepage HTML. Location signal: Sam Kline Charlotte, NC.","Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.",Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/003-cdlandscapes-com.jpg,lead-sheet/domain-guess,CD Landscapes,2026-06-17T00:06:31.860Z
Landscapers,https://www.evergreenlandscaping.com/,lawn care; hardscaping; irrigation; outdoor living; landscape design-build; commercial landscaping,"Get Directions SERVING AREA Horry County, SC",true,10,10,9,10,9,10,7,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Landscapers | Carolina Coast Evergreen Nursery &amp; Landscaping. H1: Landscape Design and Gardening Contractor. Schema detected. Location signal: Get Directions SERVING AREA Horry County, SC.","Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.",Maintain proof density and avoid burying quote path below decorative content.,research/screenshots/005-evergreenlandscaping-com.jpg,lead-sheet/domain-guess,Ever Green Landscaping Services LLC,2026-06-17T00:06:31.928Z
Trusted Lexington Landscaping &amp; Hardscaping Services,https://ironwoodlandscape.com/,irrigation; outdoor living; landscape design-build,"Lexington, KY",true,10,9,7,7,7,10,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: Trusted Lexington Landscaping &amp; Hardscaping Services | Ironwood KY. H1: Landscaping Handled The Right Way.. Schema detected. Location signal: Lexington, KY.",Service area language supports local intent.,No homepage form detected; conversion path may require extra clicks.,research/screenshots/005-ironwoodlandscape-com.jpg,lead-sheet/domain-guess,Ironwood Landscape and Design LLC,2026-06-17T00:06:32.813Z
Ironwood Outdoors &#8211; Patio and Outdoor Living,https://ironwoodoutdoors.com/,hardscaping; outdoor living,,true,10,10,8,9,10,7,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: Ironwood Outdoors &#8211; Patio and Outdoor Living. H1: Transform Your Backyard Into Your Favorite Room in the House. Schema detected. Location signal not obvious from homepage text.,"Primary quote/call CTA is easy to find. Uses reviews, licensing, guarantees, awards, or years-in-business proof. Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.",No homepage form detected; conversion path may require extra clicks.,research/screenshots/008-ironwoodoutdoors-com.jpg,lead-sheet/domain-guess,Ironwood Landscape and Design LLC,2026-06-17T00:06:36.452Z
GT Landscaping Solutions,https://gtlandscapesolutions.com/,commercial landscaping,"Candlewood Dr NE Keizer, OR",true,8,10,7,7,8,4,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,"Title: GT Landscaping Solutions &#8211; Salem, Oregon. H1: not detected. No schema detected in homepage HTML. Location signal: Candlewood Dr NE Keizer, OR.","Uses reviews, licensing, guarantees, awards, or years-in-business proof. Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.",Services/offers are not immediately clear. No homepage form detected; conversion path may require extra clicks.,research/screenshots/008-greenthumblandscaping-com.jpg,lead-sheet/domain-guess,Green Thumb Lawn Service,2026-06-17T00:06:37.851Z
Evergreen Landscaping Services &#8211; Remarkable Landscapes,https://evergreenusa.com/,lawn care; hardscaping; artificial turf; landscape design-build; commercial landscaping,,true,8,8,5,5,4,6,6,Browser loaded homepage DOM and captured first viewport; perceived speed risk rises if heavy media delayed the 18s audit timeout.,Title: Evergreen Landscaping Services &#8211; Remarkable Landscapes. H1: not detected. No schema detected in homepage HTML. Location signal not obvious from homepage text.,Portfolio/gallery helps prove finished-work quality. Service area language supports local intent.,CTA language is weak or hard to locate. Trust proof is thin above the main homepage content. Phone number is not obvious in captured homepage text. No homepage form detected; conversion path may require extra clicks.,research/screenshots/009-evergreenlandscapingservices-com.jpg,lead-sheet/domain-guess,Ever Green Landscaping Services LLC,2026-06-17T00:06:39.408Z
